threshold,up_prec,dn_prec,avg_prec,coverage,up_signals,dn_signals,ev_score
0.5,0.5260166156536948,0.5073649754500819,0.5166907955518883,1.0,2287,4277,0.5166907955518883
0.51,0.5309278350515464,0.5083798882681564,0.5196538616598514,0.952315661182206,2134,4117,0.494874510852488
0.52,0.5298544907175113,0.5096153846153846,0.519734937666448,0.90569774527727,1993,3952,0.4707227611863244
0.53,0.5356756756756756,0.5112285336856011,0.5234521046806384,0.8584704448507008,1850,3785,0.44936816116322326
0.54,0.5382335506816834,0.5082827167310878,0.5232581337063856,0.808805606337599,1687,3622,0.4232141121034737
0.55,0.5417201540436457,0.5119533527696793,0.5268367534066625,0.7599024984765387,1558,3430,0.4003445652029909
0.56,0.5415512465373962,0.5115562403697997,0.526553743453598,0.7143510054844607,1444,3245,0.37614419607768446
0.57,0.5481203007518797,0.5138752856676461,0.5309977932097629,0.6692565508836076,1330,3063,0.35537375161037305
0.58,0.5492730210016155,0.5143859649122807,0.531829492956948,0.6227909811090798,1238,2850,0.3312186117014021
0.59,0.5509300265721878,0.5214910612400152,0.5362105439061016,0.5725167580743449,1129,2629,0.30698952224240245
0.6,0.5553398058252427,0.5229885057471264,0.5391641557861846,0.5280316879951249,1030,2436,0.2846957592862455
0.61,0.5564853556485355,0.5201072386058981,0.5382962971272168,0.48659354052407067,956,2238,0.2619315010701296
0.62,0.5563139931740614,0.5185002466699556,0.5374071199220085,0.44271785496648386,879,2027,0.23791972737558756
0.63,0.5607008760951189,0.5226158038147138,0.5416583399549164,0.4012797074954296,799,1835,0.21735650021956884
0.64,0.5607344632768362,0.5235186316432499,0.542126547460043,0.3572516758074345,708,1637,0.193675617579799
0.65,0.5665584415584416,0.5222591362126245,0.5444087888855331,0.32312614259597805,616,1505,0.17591271194793048
0.66,0.5492700729927007,0.5175766641735228,0.5334233685831118,0.2871724558196222,548,1337,0.15318449874758772
0.67,0.5443298969072164,0.5189003436426117,0.5316151202749141,0.2512187690432663,485,1164,0.13355169612025186
0.68,0.5568445475638051,0.52046783625731,0.5386561919105575,0.22196831200487507,431,1026,0.11956460566936049
0.69,0.5572916666666666,0.5201793721973094,0.538735519431988,0.19439366240097503,384,892,0.10472677068787581
0.7,0.5676470588235294,0.5217391304347826,0.5446930946291559,0.1674283973187081,340,759,0.09119709186432699
0.71,0.5570934256055363,0.5287713841368584,0.5429324048711974,0.14198659354052406,289,643,0.07708912269042596
0.72,0.5344129554655871,0.54510556621881,0.5397592608421986,0.1170018281535649,247,521,0.06315282028135413
0.73,0.5175879396984925,0.5472154963680388,0.5324017180332656,0.09323583180987204,199,413,0.04963891703783647
0.74,0.5240963855421686,0.5585585585585585,0.5413274720503636,0.07602071907373553,166,333,0.041152103679636114
0.75,0.5546875,0.5597014925373134,0.5571944962686567,0.0603290676416819,128,268,0.03361502445496466
